id,company_name,industry,employees,revenue_millions,city,country,founded_year
821,Tech Corp 1,Energy,29098,176.67,Sydney,Australia,2004
822,Global Systems 65,Energy,44408,63.9,San Francisco,Australia,1951
823,Tech Ltd 51,Healthcare,13289,106.78,Berlin,Canada,1954
824,Eco Group 74,Technology,10312,47.05,New York,Germany,1963
825,Eco Group 43,Technology,38344,69.17,Tokyo,USA,1983
826,Global Solutions 84,Healthcare,4300,277.04,Berlin,UK,1958
827,Eco Group 93,Energy,41824,383.28,Sydney,Australia,1990
828,Future Corp 34,Retail,18004,427.37,Bangalore,Germany,2005
829,Global Ltd 69,Retail,18812,94.72,Bangalore,Canada,1964
830,Smart Holdings 35,Finance,5852,213.79,San Francisco,USA,1971
831,Global Ltd 10,Finance,38238,407.63,London,Australia,1952
832,Omega Ltd 14,Technology,31137,248.52,New York,UK,1967
833,Prime Ltd 94,Technology,21626,412.14,London,Japan,2000
834,Omega Inc 52,Energy,26599,20.47,Bangalore,Australia,2023
835,Tech Group 71,Healthcare,4783,443.13,Toronto,USA,1980
836,Smart Ltd 7,Retail,49783,129.73,San Francisco,Australia,1955
837,Tech Holdings 10,Technology,16213,39.14,Sydney,Canada,1964
838,Global Systems 93,Technology,11279,52.56,Sydney,UK,2007
839,Eco Ltd 19,Real Estate,6506,94.99,Tokyo,Australia,2004
840,Prime Solutions 88,Healthcare,37123,334.42,Toronto,Australia,1988
841,Prime Systems 33,Retail,18275,254.38,Sydney,USA,1969
842,Tech Holdings 95,Finance,22009,277.06,Toronto,India,1987
843,Eco Systems 1,Healthcare,44991,362.87,New York,UK,1963
844,Global Ltd 39,Real Estate,35513,448.35,London,Japan,1976
845,Global Corp 93,Technology,48425,292.1,Tokyo,Germany,1988
846,Global Ltd 38,Finance,9400,390.36,Toronto,Australia,2015
847,Future Systems 71,Technology,2827,131.72,Berlin,UK,1978
848,Future Inc 12,Finance,30151,431.8,Sydney,Canada,1986
849,Tech Inc 38,Retail,21689,337.89,Bangalore,Japan,1967
850,Smart Systems 98,Energy,13253,427.75,Tokyo,India,1962
851,Global Group 14,Healthcare,12004,447.56,Berlin,Japan,1967
852,Smart Ltd 64,Real Estate,28761,458.32,Bangalore,UK,2017
853,Global Ltd 9,Technology,37677,426.45,Bangalore,Canada,1971
854,Future Inc 7,Retail,10243,492.79,Toronto,Australia,1951
855,Eco Group 55,Energy,27771,431.71,Tokyo,Australia,1961
856,Alpha Inc 6,Retail,33342,303.55,Berlin,USA,1984
857,Tech Holdings 73,Healthcare,17769,4.75,Tokyo,Australia,1978
858,Tech Group 64,Retail,40767,340.02,Tokyo,Japan,1961
859,Tech Group 38,Energy,16005,448.61,Toronto,Germany,2021
860,Global Group 83,Automotive,39783,272.34,Berlin,UK,2010
861,Omega Inc 61,Technology,17844,184.55,San Francisco,Australia,1966
862,Tech Ltd 15,Automotive,23671,207.47,Toronto,UK,2000
863,Global Systems 70,Retail,20683,181.45,New York,USA,2008
864,Alpha Systems 85,Automotive,21221,407.46,Bangalore,India,2020
865,Prime Holdings 14,Energy,30073,169.65,Toronto,India,1991
866,Global Systems 95,Retail,29371,399.08,Sydney,Canada,1965
867,Future Solutions 53,Healthcare,18765,311.02,New York,USA,1977
868,Tech Systems 42,Retail,2430,415.14,San Francisco,Canada,2001
869,Future Solutions 58,Automotive,13611,160.59,San Francisco,India,2005
870,Tech Solutions 59,Real Estate,7251,106.59,San Francisco,Japan,2007
871,Global Systems 32,Energy,2309,205.21,London,Canada,1968
872,Smart Ltd 30,Automotive,42962,350.69,Berlin,USA,1997
873,Future Inc 23,Automotive,33758,484.65,New York,USA,1975
874,Alpha Inc 2,Automotive,9712,419.32,London,Japan,2004
875,Alpha Corp 7,Energy,32438,147.82,Sydney,Australia,1983
876,Global Inc 92,Automotive,8915,430.01,Toronto,UK,1988
877,Tech Systems 23,Real Estate,27782,328.91,Tokyo,Australia,1952
878,Future Inc 42,Retail,10277,269.96,Tokyo,UK,1964
879,Global Ltd 74,Energy,46325,463.09,Tokyo,Germany,1963
880,Alpha Inc 39,Automotive,5128,178.91,London,UK,1971
881,Global Inc 2,Finance,21650,154.75,Berlin,India,2022
882,Smart Corp 83,Technology,49110,401.62,Berlin,India,1978
883,Future Inc 85,Healthcare,35523,450.08,Sydney,Canada,1992
884,Future Ltd 20,Retail,23569,66.89,Tokyo,India,1995
885,Global Inc 78,Healthcare,33935,132.36,Sydney,UK,1962
886,Prime Solutions 16,Automotive,16149,199.57,London,UK,1972
887,Smart Solutions 71,Retail,22615,14.64,Toronto,India,1954
888,Future Group 66,Energy,43693,123.59,Bangalore,Japan,2004
889,Future Ltd 20,Energy,1711,375.83,Toronto,India,2005
890,Future Group 38,Technology,541,413.43,Bangalore,India,1977
891,Future Inc 4,Retail,30492,66.04,Bangalore,Germany,2014
892,Tech Group 69,Technology,650,181.15,Toronto,Japan,1995
893,Eco Systems 42,Finance,46673,496.68,Bangalore,Japan,1957
894,Future Systems 43,Retail,2016,272.48,London,Japan,1971
895,Eco Ltd 68,Healthcare,3724,206.68,London,India,2023
896,Future Group 32,Healthcare,39583,346.82,San Francisco,India,2018
897,Future Solutions 98,Finance,22362,252.44,Tokyo,Australia,1970
898,Eco Solutions 25,Real Estate,6152,488.84,San Francisco,Canada,1974
899,Global Group 68,Automotive,3621,82.07,Berlin,UK,1967
900,Omega Solutions 81,Energy,19670,390.19,London,Japan,1950
901,Eco Systems 44,Healthcare,18734,36.07,Toronto,Canada,1988
902,Omega Inc 68,Healthcare,32531,375.18,Toronto,UK,1959
903,Alpha Holdings 35,Automotive,20518,483.58,Bangalore,Australia,1950
904,Smart Systems 18,Finance,470,232.46,Toronto,India,2014
905,Eco Solutions 99,Finance,14536,338.07,Bangalore,India,1959
906,Alpha Corp 96,Finance,41505,315.65,Toronto,Germany,1989
907,Omega Solutions 19,Finance,40941,466.12,San Francisco,USA,2017
908,Smart Holdings 61,Energy,10975,410.66,London,Germany,1997
909,Future Solutions 56,Healthcare,37061,234.23,Berlin,USA,2008
910,Omega Corp 65,Real Estate,5760,118.03,San Francisco,India,1990
911,Omega Corp 79,Energy,755,95.32,San Francisco,USA,2001
912,Prime Solutions 23,Finance,49718,235.85,Berlin,India,1979
913,Tech Group 43,Retail,7690,289.22,London,Germany,2017
914,Omega Inc 95,Technology,5591,2.23,San Francisco,Japan,2007
915,Global Solutions 72,Real Estate,4686,49.57,San Francisco,Japan,2000
916,Future Group 27,Automotive,25098,124.71,London,Canada,1970
917,Prime Ltd 49,Finance,11450,429.44,Tokyo,India,2018
918,Smart Corp 49,Energy,45567,158.17,Toronto,India,2015
919,Global Holdings 25,Retail,29614,29.19,New York,Canada,1980
920,Eco Holdings 24,Finance,48034,323.6,San Francisco,UK,2001
921,Future Systems 3,Energy,39815,410.85,Tokyo,Japan,1953
922,Alpha Corp 60,Energy,46322,61.35,Sydney,Australia,1980
923,Eco Group 88,Energy,1186,65.21,London,Canada,2009
924,Smart Group 57,Retail,45791,201.86,Bangalore,Canada,1990
925,Eco Ltd 30,Automotive,33804,349.99,Sydney,UK,1974
926,Global Corp 91,Real Estate,25845,61.89,Berlin,Canada,2004
927,Tech Corp 37,Energy,4689,126.37,Bangalore,India,1976
928,Eco Ltd 31,Technology,21569,199.02,San Francisco,USA,2001
929,Tech Systems 49,Energy,46331,1.05,New York,India,1991
930,Eco Ltd 8,Retail,34074,146.19,New York,Japan,1968
931,Future Solutions 36,Energy,8661,59.45,Toronto,Japan,2011
932,Eco Group 32,Retail,38200,40.61,Tokyo,Germany,2019
933,Future Group 8,Automotive,41481,135.72,Berlin,Japan,1952
934,Tech Systems 29,Retail,10546,338.14,New York,India,1979
935,Tech Holdings 74,Real Estate,17242,379.71,Tokyo,Japan,1956
936,Alpha Systems 30,Healthcare,8688,428.25,New York,Japan,2020
937,Future Solutions 12,Retail,6756,321.73,Berlin,India,1961
938,Smart Holdings 93,Technology,41413,481.53,Bangalore,USA,1990
939,Future Ltd 67,Energy,2075,129.98,Berlin,UK,2013
940,Prime Ltd 21,Healthcare,41779,70.59,London,Australia,2023
941,Tech Ltd 71,Real Estate,33457,454.58,Bangalore,Canada,1953
942,Eco Group 73,Retail,40471,24.08,San Francisco,Germany,1996
943,Global Holdings 1,Energy,9104,193.37,London,Australia,1971
944,Future Inc 73,Finance,45494,138.01,Bangalore,Japan,1967
945,Alpha Solutions 96,Energy,38291,462.98,San Francisco,UK,2005
946,Eco Corp 78,Finance,25441,311.96,Berlin,India,1981
947,Omega Group 31,Automotive,26219,15.06,San Francisco,Australia,2009
948,Prime Corp 35,Healthcare,42893,467.06,New York,Japan,1966
949,Prime Solutions 58,Healthcare,33783,225.25,London,USA,1993
950,Omega Ltd 61,Finance,48650,146.16,New York,India,1996
951,Future Inc 63,Technology,29425,132.38,San Francisco,USA,1983
952,Future Inc 25,Automotive,23812,119.52,New York,USA,1962
953,Eco Group 23,Finance,25043,316.68,Bangalore,Japan,1955
954,Alpha Holdings 38,Technology,26226,347.1,San Francisco,Canada,1965
955,Smart Group 8,Real Estate,28136,403.33,San Francisco,USA,2004
956,Smart Ltd 37,Healthcare,40933,21.78,London,Japan,1955
957,Global Holdings 12,Technology,27266,399.75,Toronto,Germany,2013
958,Tech Ltd 59,Real Estate,13786,295.66,Sydney,Australia,2012
959,Omega Ltd 63,Automotive,12554,2.27,Bangalore,Japan,2009
960,Eco Ltd 90,Finance,40140,459.1,Bangalore,Germany,1983
961,Future Ltd 30,Technology,36672,394.73,Bangalore,Japan,1990
962,Tech Corp 18,Finance,12078,363.02,Tokyo,Canada,2003
963,Omega Corp 84,Finance,17681,64.89,Tokyo,Canada,1956
964,Eco Group 4,Real Estate,24427,193.82,San Francisco,USA,1966
965,Alpha Solutions 35,Energy,6846,269.58,London,Australia,1992
966,Alpha Systems 36,Real Estate,18765,338.0,Sydney,Australia,1991
967,Tech Ltd 11,Automotive,19376,9.5,New York,India,1999
968,Tech Holdings 9,Technology,49328,135.8,Tokyo,Australia,1956
969,Future Group 84,Energy,48320,489.78,Toronto,UK,1976
970,Smart Ltd 83,Technology,39105,246.01,San Francisco,India,1962
971,Prime Systems 78,Retail,3958,41.12,Bangalore,Australia,2005
972,Alpha Group 84,Energy,45686,364.45,Tokyo,Canada,1974
973,Smart Group 27,Finance,21094,119.21,Berlin,UK,2009
974,Future Corp 10,Energy,30316,352.35,Bangalore,USA,1969
975,Global Solutions 42,Finance,4042,255.18,Tokyo,Australia,2001
976,Smart Systems 68,Automotive,15246,159.74,Berlin,Australia,1962
977,Smart Ltd 76,Energy,7968,370.58,London,India,1959
978,Smart Corp 11,Real Estate,417,475.2,Tokyo,UK,2001
979,Alpha Solutions 17,Real Estate,43677,125.39,Bangalore,Japan,1963
980,Future Solutions 54,Healthcare,26180,280.92,Sydney,India,1994
981,Alpha Corp 7,Real Estate,25208,317.46,Toronto,Germany,2015
982,Smart Systems 2,Healthcare,28602,190.4,London,Canada,1953
983,Alpha Systems 87,Real Estate,5376,171.76,New York,Japan,2023
984,Global Solutions 27,Finance,41285,344.84,Bangalore,Canada,1980
985,Future Corp 32,Finance,10425,478.3,London,Australia,1976
986,Tech Inc 83,Automotive,20777,203.48,London,Australia,1989
987,Prime Systems 64,Retail,36243,429.95,London,UK,1963
988,Eco Ltd 44,Technology,15652,448.76,New York,USA,2003
989,Prime Systems 63,Healthcare,3733,135.27,Toronto,USA,1972
990,Global Ltd 91,Healthcare,5946,437.35,San Francisco,Canada,1963
991,Omega Corp 64,Technology,46269,82.77,Toronto,Australia,1958
992,Future Holdings 98,Finance,13603,156.93,London,Australia,1967
993,Alpha Systems 19,Automotive,29621,222.96,Toronto,Japan,1975
994,Tech Group 72,Technology,17137,243.38,London,Japan,1978
995,Prime Corp 76,Healthcare,37448,361.36,Tokyo,Australia,1963
996,Tech Solutions 79,Retail,39142,169.82,Toronto,Japan,1980
997,Eco Systems 29,Energy,33243,66.75,San Francisco,UK,2005
998,Omega Ltd 57,Healthcare,41112,158.57,San Francisco,Australia,1989
999,Future Inc 80,Automotive,46265,288.56,San Francisco,India,1970
1000,Global Solutions 97,Automotive,37446,371.01,Tokyo,Germany,1989
